model,number,is_prime,score
gpt-3.5-turbo-0301,82503,False,0
gpt-3.5-turbo-0613,71720,False,1
gpt-4-0314,16699,True,1
gpt-4-0613,61447,False,1
gpt-3.5-turbo-0301,27107,True,0
gpt-3.5-turbo-0613,10738,False,1
gpt-4-0314,70999,True,1
gpt-4-0613,39942,False,1
gpt-3.5-turbo-0301,18388,False,1
gpt-3.5-turbo-0613,53916,False,1
gpt-4-0314,69780,False,1
gpt-4-0613,71881,True,0
gpt-3.5-turbo-0301,85042,False,1
gpt-3.5-turbo-0613,66597,False,1
gpt-4-0314,33218,False,1
gpt-4-0613,12297,False,1
gpt-3.5-turbo-0301,19923,False,1
gpt-3.5-turbo-0613,15053,True,1
gpt-4-0314,63824,False,1
gpt-4-0613,29061,False,1
gpt-3.5-turbo-0301,44040,False,1
gpt-3.5-turbo-0613,74378,False,1
gpt-4-0314,24246,False,1
gpt-4-0613,89148,False,1
gpt-3.5-turbo-0301,50743,False,0
gpt-3.5-turbo-0613,58651,False,0
gpt-4-0314,30508,False,1
gpt-4-0613,80511,False,0
gpt-3.5-turbo-0301,93844,False,1
gpt-3.5-turbo-0613,11061,False,1
gpt-4-0314,74961,False,0
gpt-4-0613,86598,False,1
gpt-3.5-turbo-0301,97843,True,0
gpt-3.5-turbo-0613,53485,False,0
gpt-4-0314,37035,False,1
gpt-4-0613,21119,False,1
gpt-3.5-turbo-0301,25278,False,1
gpt-3.5-turbo-0613,34160,False,1
gpt-4-0314,35874,False,1
gpt-4-0613,86183,True,0
gpt-3.5-turbo-0301,63902,False,1
gpt-3.5-turbo-0613,27933,False,1
gpt-4-0314,82450,False,1
gpt-4-0613,65057,False,1
gpt-3.5-turbo-0301,56226,False,1
gpt-3.5-turbo-0613,67138,False,0
gpt-4-0314,88204,False,1
gpt-4-0613,67471,False,1
gpt-3.5-turbo-0301,62098,False,1
gpt-3.5-turbo-0613,15163,False,0
gpt-4-0314,80515,False,1
gpt-4-0613,51562,False,1
gpt-3.5-turbo-0301,86487,False,1
gpt-3.5-turbo-0613,30476,False,1
gpt-4-0314,50765,False,1
gpt-4-0613,96406,False,1
gpt-3.5-turbo-0301,51293,False,1
gpt-3.5-turbo-0613,42483,False,0
gpt-4-0314,91734,False,1
gpt-4-0613,76368,False,1
gpt-3.5-turbo-0301,15272,False,1
gpt-3.5-turbo-0613,68648,False,1
gpt-4-0314,84154,False,1
gpt-4-0613,26539,True,0
gpt-3.5-turbo-0301,83398,False,1
gpt-3.5-turbo-0613,78476,False,1
gpt-4-0314,72255,False,1
gpt-4-0613,68329,True,0
gpt-3.5-turbo-0301,87929,False,1
gpt-3.5-turbo-0613,90970,False,1
gpt-4-0314,94353,False,0
gpt-4-0613,14091,False,1
gpt-3.5-turbo-0301,36642,False,1
gpt-3.5-turbo-0613,99782,False,1
gpt-4-0314,99351,False,0
gpt-4-0613,86975,False,1
gpt-3.5-turbo-0301,23462,False,1
gpt-3.5-turbo-0613,66659,False,0
gpt-4-0314,44919,False,0
gpt-4-0613,59769,False,1
gpt-3.5-turbo-0301,16003,False,1
gpt-3.5-turbo-0613,22895,False,0
gpt-4-0314,82401,False,0
gpt-4-0613,31213,False,1
gpt-3.5-turbo-0301,58683,False,1
gpt-3.5-turbo-0613,81004,False,1
gpt-4-0314,48323,False,0
gpt-4-0613,62307,False,0
gpt-3.5-turbo-0301,39378,False,1
gpt-3.5-turbo-0613,74966,False,1
gpt-4-0314,96836,False,1
gpt-4-0613,86603,False,1
gpt-3.5-turbo-0301,89954,False,1
gpt-3.5-turbo-0613,62763,False,1
gpt-4-0314,71519,False,0
gpt-4-0613,15967,False,1
gpt-3.5-turbo-0301,10551,False,1
gpt-3.5-turbo-0613,91620,False,1
gpt-4-0314,44259,False,0
gpt-4-0613,73138,False,1
gpt-3.5-turbo-0301,46859,False,1
gpt-3.5-turbo-0613,66033,False,1
gpt-4-0314,14791,False,0
gpt-4-0613,30111,False,1
gpt-3.5-turbo-0301,80345,False,1
gpt-3.5-turbo-0613,17627,True,1
gpt-4-0314,78051,False,0
gpt-4-0613,19888,False,1
gpt-3.5-turbo-0301,69441,False,0
gpt-3.5-turbo-0613,98088,False,1
gpt-4-0314,20996,False,1
gpt-4-0613,53501,False,0
gpt-3.5-turbo-0301,79715,False,1
gpt-3.5-turbo-0613,50069,True,1
gpt-4-0314,40597,True,1
gpt-4-0613,26311,False,1
gpt-3.5-turbo-0301,28885,False,1
gpt-3.5-turbo-0613,14520,False,1
gpt-4-0314,69973,False,0
gpt-4-0613,29193,False,1
gpt-3.5-turbo-0301,98252,False,1
gpt-3.5-turbo-0613,79524,False,1
gpt-4-0314,29840,False,1
gpt-4-0613,38643,False,1
gpt-3.5-turbo-0301,70818,False,1
gpt-3.5-turbo-0613,58797,False,0
gpt-4-0314,53543,False,0
gpt-4-0613,30435,False,1
gpt-3.5-turbo-0301,31292,False,1
gpt-3.5-turbo-0613,81475,False,1
gpt-4-0314,61523,False,0
gpt-4-0613,96659,False,1
gpt-3.5-turbo-0301,45943,True,0
gpt-3.5-turbo-0613,55228,False,0
gpt-4-0314,55210,False,1
gpt-4-0613,95606,False,1
gpt-3.5-turbo-0301,13590,False,1
gpt-3.5-turbo-0613,10739,True,1
gpt-4-0314,51373,False,0
gpt-4-0613,21160,False,1
gpt-3.5-turbo-0301,68994,False,1
gpt-3.5-turbo-0613,96320,False,1
gpt-4-0314,81543,False,0
gpt-4-0613,87618,False,1
gpt-3.5-turbo-0301,65327,True,1
gpt-3.5-turbo-0613,33228,False,1
gpt-4-0314,31204,False,1
gpt-4-0613,56629,True,0
gpt-3.5-turbo-0301,77482,False,1
gpt-3.5-turbo-0613,88904,False,1
gpt-4-0314,61923,False,0
gpt-4-0613,29805,False,1
gpt-3.5-turbo-0301,20923,False,1
gpt-3.5-turbo-0613,39103,True,1
gpt-4-0314,95318,False,1
gpt-4-0613,11209,False,1
gpt-3.5-turbo-0301,21042,False,1
gpt-3.5-turbo-0613,10996,False,1
gpt-4-0314,97293,False,0
gpt-4-0613,90583,True,0
gpt-3.5-turbo-0301,54292,False,1
gpt-3.5-turbo-0613,32079,False,0
gpt-4-0314,94253,True,1
gpt-4-0613,84128,False,1
gpt-3.5-turbo-0301,60569,False,1
gpt-3.5-turbo-0613,38811,False,0
gpt-4-0314,41117,True,0
gpt-4-0613,14606,False,1
gpt-3.5-turbo-0301,45372,False,1
gpt-3.5-turbo-0613,79151,True,1
gpt-4-0314,18067,False,0
